transaction_id,procedure_id,trans_group_id,trans_group_ar,trans_group_en,procedure_name_ar,procedure_name_en,instance_date,property_type_id,property_type_ar,property_type_en,property_sub_type_id,property_sub_type_ar,property_sub_type_en,property_usage_ar,property_usage_en,reg_type_id,reg_type_ar,reg_type_en,area_id,area_name_ar,area_name_en,building_name_ar,building_name_en,project_number,project_name_ar,project_name_en,master_project_en,master_project_ar,nearest_landmark_ar,nearest_landmark_en,nearest_metro_ar,nearest_metro_en,nearest_mall_ar,nearest_mall_en,rooms_ar,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3,,
2-13-2005-88,13,2,Ø±Ù‡ÙˆÙ†,Mortgages,ØªØ³Ø¬ÙŠÙ„ Ø±Ù‡Ù†,Mortgage Registration,07/02/2005,2,Ù…Ø¨Ù†Ù‰,Building,null,,,Ø³ÙƒÙ†ÙŠ / ØªØ¬Ø§Ø±ÙŠ,Residential / Commercial,1,Ø§Ù„Ø¹Ù‚Ø§Ø±Ø§Øª Ø§Ù„Ù‚Ø§Ø¦Ù…Ø©,Existing Properties,271,Ø§Ù„ÙƒØ±Ø§Ù…Ù‡,Al Karama,,,null,,,,,Ø¨Ø±Ø¬ Ø®Ù„ÙŠÙØ©,Burj Khalifa,Ù…Ø­Ø·Ø© Ù…ØªØ±Ùˆ Ø¨Ù†Ùƒ Ø£Ø¨ÙˆØ¸Ø¨ÙŠ Ø§Ù„ØªØ¬Ø§Ø±ÙŠ,ADCB Metro Station,Ù…ÙˆÙ„ Ø¯Ø¨ÙŠ,Dubai Mall,,,0,1969.54,4500000,2284.8,null,null,1,1,0,,
2-14-2010-301,14,2,Ø±Ù‡ÙˆÙ†,Mortgages,ØªØ¹Ø¯ÙŠÙ„ Ø±Ù‡Ù†,Modify Mortgage,01/07/2010,2,Ù…Ø¨Ù†Ù‰,Building,null,,,Ø³ÙƒÙ†ÙŠ / ØªØ¬Ø§Ø±ÙŠ,Residential / Commercial,1,Ø§Ù„Ø¹Ù‚Ø§Ø±Ø§Øª Ø§Ù„Ù‚Ø§Ø¦Ù…Ø©,Existing Properties,367,Ø§Ù„Ø³ÙˆÙ‚ Ø§Ù„ÙƒØ¨ÙŠØ±,Al Suq Al Kabeer,,,null,,,,,Ù…Ø·Ø§Ø± Ø¯Ø¨ÙŠ Ø§Ù„Ø¯ÙˆÙ„ÙŠ,Dubai International Airport,Ù…Ø­Ø·Ø© Ù…ØªØ±Ùˆ Ø§Ù„ØºØ¨ÙŠØ¨Ø©,Al Ghubaiba Metro Station,Ù…ÙˆÙ„ Ø¯Ø¨ÙŠ,Dubai Mall,,,0,964.15,42537080,44118.74,null,null,2,1,0,,
3-9-2010-187,9,3,Ù‡Ø¨Ø§Øª,Gifts,Ù‡Ø¨Ù‡,Grant,29/03/2010,2,Ù…Ø¨Ù†Ù‰,Building,null,,,Ø³ÙƒÙ†ÙŠ,Residential,1,Ø§Ù„Ø¹Ù‚Ø§Ø±Ø§Øª Ø§Ù„Ù‚Ø§Ø¦Ù…Ø©,Existing Properties,267,Ø§Ù„Ø±ÙØ§Ø¹Ù‡,Al Raffa,,,null,,,,,Ø¨Ø±Ø¬ Ø®Ù„ÙŠÙØ©,Burj Khalifa,Ù…Ø­Ø·Ø© Ù…ØªØ±Ùˆ Ø§Ù„ØºØ¨ÙŠØ¨Ø©,Al Ghubaiba Metro Station,Ù…ÙˆÙ„ Ø¯Ø¨ÙŠ,Dubai Mall,,,0,393.44,5395711,13714.19,null,null,1,1,0,,
1-11-2025-22014,11,1,Ù…Ø¨Ø§ÙŠØ¹Ø§Øª,Sales,Ø¨ÙŠØ¹,Sell,29/05/2025,2,Ù…Ø¨Ù†Ù‰,Building,null,,,Ø³ÙƒÙ†ÙŠ / ØªØ¬Ø§Ø±ÙŠ,Residential / Commercial,1,Ø§Ù„Ø¹Ù‚Ø§Ø±Ø§Øª Ø§Ù„Ù‚Ø§Ø¦Ù…Ø©,Existing Properties,269,Ø§Ù„Ø­Ù…Ø±ÙŠÙ‡,Al Hamriya,,,null,,,,,Ù…Ø·Ø§Ø± Ø¯Ø¨ÙŠ Ø§Ù„Ø¯ÙˆÙ„ÙŠ,Dubai International Airport,Ù…Ø­Ø·Ø© Ù…ØªØ±Ùˆ Ø¨Ø±Ø¬Ù…Ø§Ù†,Burjuman Metro Station,Ù…ÙˆÙ„ Ø¯Ø¨ÙŠ,Dubai Mall,,,0,5171.22,73500000,14213.28,null,null,1,1,0,,
2-14-2012-811,14,2,Ø±Ù‡ÙˆÙ†,Mortgages,ØªØ¹Ø¯ÙŠÙ„ Ø±Ù‡Ù†,Modify Mortgage,26/11/2012,2,Ù…Ø¨Ù†Ù‰,Building,null,,,Ø³ÙƒÙ†ÙŠ / ØªØ¬Ø§Ø±ÙŠ,Residential / Commercial,1,Ø§Ù„Ø¹Ù‚Ø§Ø±Ø§Øª Ø§Ù„Ù‚Ø§Ø¦Ù…Ø©,Existing Properties,269,Ø§Ù„Ø­Ù…Ø±ÙŠÙ‡,Al Hamriya,,,null,,,,,Ù…Ø·Ø§Ø± Ø¯Ø¨ÙŠ Ø§Ù„Ø¯ÙˆÙ„ÙŠ,Dubai International Airport,Ù…Ø­Ø·Ø© Ù…ØªØ±Ùˆ Ø¨Ø±Ø¬Ù…Ø§Ù†,Burjuman Metro Station,Ù…ÙˆÙ„ Ø¯Ø¨ÙŠ,Dubai Mall,,,0,5102.23,46112000,9037.62,null,null,8,1,0,,
2-14-2003-54,14,2,Ø±Ù‡ÙˆÙ†,Mortgages,ØªØ¹Ø¯ÙŠÙ„ Ø±Ù‡Ù†,Modify Mortgage,14/04/2003,2,Ù…Ø¨Ù†Ù‰,Building,null,,,Ø³ÙƒÙ†ÙŠ / ØªØ¬Ø§Ø±ÙŠ,Residential / Commercial,1,Ø§Ù„Ø¹Ù‚Ø§Ø±Ø§Øª Ø§Ù„Ù‚Ø§Ø¦Ù…Ø©,Existing Properties,266,Ø§Ù„Ø³Ø·ÙˆÙ‡,Al Satwa,,,null,,,,,Ø¨Ø±Ø¬ Ø®Ù„ÙŠÙØ©,Burj Khalifa,Ù…Ø­Ø·Ø© Ù…ØªØ±Ùˆ Ø§Ù„Ù…Ø±ÙƒØ² Ø§Ù„ØªØ¬Ø§Ø±ÙŠ,Trade Centre Metro Station,Ù…ÙˆÙ„ Ø¯Ø¨ÙŠ,Dubai Mall,,,0,358.05,500000,1396.45,null,null,1,1,0,,
3-9-2025-3468,9,3,Ù‡Ø¨Ø§Øª,Gifts,Ù‡Ø¨Ù‡,Grant,12/06/2025,2,Ù…Ø¨Ù†Ù‰,Building,null,,,Ø³ÙƒÙ†ÙŠ,Residential,1,Ø§Ù„Ø¹Ù‚Ø§Ø±Ø§Øª Ø§Ù„Ù‚Ø§Ø¦Ù…Ø©,Existing Properties,266,Ø§Ù„Ø³Ø·ÙˆÙ‡,Al Satwa,,,null,,,,,Ø¨Ø±Ø¬ Ø®Ù„ÙŠÙØ©,Burj Khalifa,Ù…Ø­Ø·Ø© Ù…ØªØ±Ùˆ Ø§Ù„Ù…Ø±ÙƒØ² Ø§Ù„ØªØ¬Ø§Ø±ÙŠ,Trade Centre Metro Station,Ù…ÙˆÙ„ Ø¯Ø¨ÙŠ,Dubai Mall,,,0,105.29,2000001,18995.17,null,null,1,2,0,,
1-11-2002-249,11,1,Ù…Ø¨Ø§ÙŠØ¹Ø§Øª,Sales,Ø¨ÙŠØ¹,Sell,11/02/2002,4,ÙÙŠÙ„Ø§,Villa,null,,,Ø³ÙƒÙ†ÙŠ,Residential,1,Ø§Ù„Ø¹Ù‚Ø§Ø±Ø§Øª Ø§Ù„Ù‚Ø§Ø¦Ù…Ø©,Existing Properties,266,Ø§Ù„Ø³Ø·ÙˆÙ‡,Al Satwa,,,null,,,,,Ø¨Ø±Ø¬ Ø®Ù„ÙŠÙØ©,Burj Khalifa,Ù…Ø­Ø·Ø© Ù…ØªØ±Ùˆ Ø§Ù„Ù…Ø±ÙƒØ² Ø§Ù„ØªØ¬Ø§Ø±ÙŠ,Trade Centre Metro Station,Ù…ÙˆÙ„ Ø¯Ø¨ÙŠ,Dubai Mall,,,0,232.26,600000,2583.31,null,null,4,1,0,,
1-11-2023-19347,11,1,Ù…Ø¨Ø§ÙŠØ¹Ø§Øª,Sales,Ø¨ÙŠØ¹,Sell,22/06/2023,1,Ø£Ø±Ø¶,Land,null,,,Ø³ÙƒÙ†ÙŠ,Residential,1,Ø§Ù„Ø¹Ù‚Ø§Ø±Ø§Øª Ø§Ù„Ù‚Ø§Ø¦Ù…Ø©,Existing Properties,266,Ø§Ù„Ø³Ø·ÙˆÙ‡,Al Satwa,,,null,,,,,Ø¨Ø±Ø¬ Ø®Ù„ÙŠÙØ©,Burj Khalifa,Ù…Ø­Ø·Ø© Ù…ØªØ±Ùˆ Ø§Ù„Ù…Ø±ÙƒØ² Ø§Ù„ØªØ¬Ø§Ø±ÙŠ,Trade Centre Metro Station,Ù…ÙˆÙ„ Ø¯Ø¨ÙŠ,Dubai Mall,,,0,195.1,4000000,20502.31,null,null,4,3,0,,
1-11-2006-254,11,1,Ù…Ø¨Ø§ÙŠØ¹Ø§Øª,Sales,Ø¨ÙŠØ¹,Sell,27/02/2006,1,Ø£Ø±Ø¶,Land,null,,,Ø³ÙƒÙ†ÙŠ,Residential,1,Ø§Ù„Ø¹Ù‚Ø§Ø±Ø§Øª Ø§Ù„Ù‚Ø§Ø¦Ù…Ø©,Existing Properties,264,Ù†Ø¯ Ø§Ù„Ø­Ù…Ø±,Nad Al Hamar,,,null,,,,,Ù…Ø·Ø§Ø± Ø¯Ø¨ÙŠ Ø§Ù„Ø¯ÙˆÙ„ÙŠ,Dubai International Airport,Ù…Ø­Ø·Ø© Ù…ØªØ±Ùˆ Ø§Ù„Ø±Ø§Ø´Ø¯ÙŠØ©,Rashidiya Metro Station,Ø³ÙŠØªÙŠ Ø³Ù†ØªØ± Ù…Ø±Ø¯Ù,City Centre Mirdif,,,0,910.45,1519000,1668.41,null,null,1,1,0,,
